cmtid,ctime,author_username,comment,rating_star
"5046091408","1623382238","alfi.dzikri14","Kemasan:kemasan mewah,. Ketahanan:belum bisa nentuin baru nyampe. Wangi:wangi . . packingnya aman banget pokoknya,. pengiriman cepat. mantap dah","5"
"4563627618","1618651679","nastiti.handy","Kemasan:pengemasan oke aman buat kirim2. Ketahanan:tahan seharian di badan. Wangi: baru di buka plastiknya aja udah langsung kecium","5"
"6532390751","1636460281","m*****_","Kemasan:Mewah banget dah, keren pokoknya. Ketahanan:5-8 jam. Wangi:Wanginya enak bgttttt dahhh. . Wanginya enak banget, terus tahan lama, dan kemasan pun nggak keliatan murahan, worth it buat parfum under 200k","5"
"7497797497","1644933282","c*****i","Kemasan:amaan. Wangi:Wanginya enak, tapi kayaknya lebih cocok buat cowok. Ketahanan:tahan lamaa banget. . Baagusss. Ga salah pilih.","5"
"9000676696","1658068548","dimassantosso","Tekstur:sama seperti pada kebanyakan parfum. Performa:agak ga kalem wanginya. Cocok Untuk:cowok yang kerja keras seperti gua. . Pengiriman, pengemasan, serta apa yang didapatkan masih sesuai dengan pengalaman pertama kali beli. . . Semoga tidak menurun dalam penilaian-penilian yang sudah diberikan dan bisa lebih banyak promo lagi hehe","5"
"6125413228","1632841551","z*****1","Kemasan:keren. Ketahanan:kayanya sih lama dari semprotan pertama. Wangi:wanginya jos. . Sumpah ini buble wrapnya tebel bgt gaes berlapis jadi aman","5"
"4372223608","1616628145","berthanana","Kemasan:mantap.rapi.keren... Ketahanan:waktu ku semprot k baju dr jam 3 sore ampe jam 5 subuh masih nyium wanginya.gak tau org sekitar aku . Wangi:satu kali semprot dah wangi.wangi baccarat tp gak nyerat.","5"
"4159740518","1614318005","adiarab27","Akhirnya tiba dengan selamat, wanginya tuuu hmmm maskulin bgt bikin kegantenganku semakin konsisten wqwq packingnya juga rapih bgt gemesss. thankyou onix 👌🏻","5"
"4305220519","1615854877","bela_nur","Kemasan:Bagos. Ketahanan:awet sih lumayan di ruang ber ac dri pagi sampe sore masih berasa. Wangi:Wanginya buset enak bgt huhu monang","5"
"6228007128","1633794598","a*****0","Kemasan:overall good . Ketahanan:blm tau. Wangi:powerfullllll. . wanginya enak nd tahan lama katanya soal ini hadiah jdi gatau . karena mnurut gw tiap orang beda selera dfgbbvkxjdidjfhifufufufjfhfjfusishrhrkooajaodifhjfixishagwgwyyshxjjakaowhvrusyfayauwhjsodosuagajksksuxhsbajisudshuxgbsneyagagahsndkdixuzteysha","5"
"4583198306","1618883059","p*****_","Kemasan:packing kurang rapi makanya aku kasih bintah 3 pdahal udh biasa beli jg biasanya akan aja . Ketahanan:tahan lama. Wangi:exotic, maskulin. . . Sedikit kecewa si sama team onix kaki ini 😣 parfume itu buat hadiah suami dan pas dateng barangnya rembes dong tutupnya ga kenceng. Team quality kontrol nya kurang hari dan teliti pdhl udah bagus pake buble wrap.. . . Kalo untuk wanginya si ini the best udah favorit suami dr lama.. next diperbaiki lg","3"
"2211283380","1585919539","andry211994","mantap min bener2 cepet nyampenya dan aromanya oke juga walau ada kebocoran dikit tapi semua terbayarkan oleh pelayanan dan aroma yg begitu memuaskan ","5"
"5225963644","1624971681","rakasukma","Kemasan:rapih, desain elegan. Ketahanan:4x semprot cukup untuk seharian kerja. Wangi:Wangi lembut, segar, tidak menyengat dan ringan di hidung","5"
"8872853347","1657013608","d*****n","Pesanan sesuai, packaging aman bgt. Pengiriman jg cepet bgt. Semuanya oke.. Baunya juga oke. Bakal repeat order! Terima Kasih","5"
"5222642992","1624951245","nadiyaamalia11","Kemasan:baguss. Ketahanan:belum di coba. Wangi:enak. . bagus, pengiriman cepat, barang sampai dengan aman, nanti mau coba varian yg lain","5"
